recordingSha256,kind,legacyGroup,group,detail,site,caller,truncated,count,value
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[B","java.util.zip.InflaterInputStream.<init>:88","none","true","1","621648"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[C","sun.nio.fs.WindowsWatchService$Poller.processEvents:563","none","false","1","44440"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[I","scala.collection.immutable.Node.removeElement:68","none","false","1","33920"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.lang.Object;","java.lang.Throwable.fillInStackTrace:-1","none","false","1","175072"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.lang.Object;","javax.management.openmbean.CompositeDataSupport.getAll:291","none","false","1","24912"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.lang.Object;","scala.collection.immutable.Vector3.map:2248","none","false","14","42818440"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.lang.Object;","scala.collection.immutable.VectorStatics$.mapElems:2248","none","false","5","21782912"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.lang.Object;","scala.collection.immutable.VectorStatics$.mapElemsRest:2248","none","false","9","38741896"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.lang.Object;","sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData:550","none","false","1","4144"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.lang.Object;","sun.management.MemoryUsageCompositeData.getCompositeData:59","none","false","9","277408"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.security.ProtectionDomain;","java.security.AccessControlContext.combine:716","none","false","2","11006616"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.util.HashMap$Node;","java.util.HashMap.resize:702","none","false","3","151336"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[Ljava.util.concurrent.LinkedBlockingQueue$Node;","java.util.concurrent.LinkedBlockingQueue.bulkRemove:1071","none","false","3","77272"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[S","java.lang.Throwable.fillInStackTrace:-1","none","false","1","1432"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","com.cra.figaro.example.VectorSamplingPerformance$$$Lambda$4969","java.lang.invoke.DirectMethodHandle.allocateInstance:520","none","false","14","153431792"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.lang.Double","java.lang.Double.valueOf:632","none","false","120","690153440"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.lang.Long","java.lang.Long.valueOf:1211","none","false","27","1392304"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.lang.String","java.lang.StringLatin1.replace:322","none","false","1","1268488"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.lang.String","java.lang.StringLatin1.toLowerCase:464","none","false","4","142960"
