family,seed,draws,status,ess,maxWeight,k,mean,error,rawMcse,issues
dirichlet,72280,2000,Danger,1.0000566821809576,0.999971659895628,49.98855514136611,0.8408159495737625,-2.002011491385458E-4,6.50697791334316E-6,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,80199,2000,Danger,1.2066079784643255,0.905446436169145,50.949658103923895,0.8971104023044997,0.05609425158159864,0.04087042099620876,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,88118,2000,Danger,1.000103854050852,0.9999480756869401,49.843324399769834,0.6937657178034417,-0.14725043291945938,2.6773298843232224E-5,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,96037,2000,Danger,1.0000000377693892,0.9999999811153059,56.2830090435524,0.7977912423854173,-0.043224908337483714,5.885027054867806E-9,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,103956,2000,Danger,1.0000000236223074,0.9999999881888465,50.55968850428673,0.7902421127530587,-0.05077403796984237,8.29780425973143E-9,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,111875,2000,Danger,1.0029747151485047,0.9985149191103512,49.84829380917526,0.8367863492552234,-0.004229801467677596,8.058419401738783E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,119794,2000,Danger,1.0000315064558802,0.9999842470710686,58.8556591751278,0.999654344775801,0.15863819405289992,2.599472840670723E-6,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,127713,2000,Danger,1.2161642623272866,0.9017359525908301,56.5796723601888,0.8743653827922359,0.03334923206933482,0.026467738613714736,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,135632,2000,Danger,1.0000041707785559,0.9999979146150829,48.28257157694441,0.710948402375334,-0.13006774834756707,2.8043923700075876E-7,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,143551,2000,Danger,1.0046160065691188,0.9976976341577046,53.81180295241455,1.1351609458842067,0.29414479516130565,3.183321843679518E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,151470,2000,Danger,1.2548247965224872,0.8853076803320266,48.386937067173285,0.8747278546014622,0.03371170387856115,0.02022759271406424,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,159389,2000,Danger,1.0052543311520636,0.9973797017783258,57.410778138140024,0.931819950118112,0.090803799395211,1.4157767438188838E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,167308,2000,Danger,1.0017456963392357,0.9991281068892899,50.07892638139765,0.8532410224256546,0.012224871702753548,1.546503082306761E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,175227,2000,Danger,1.4527541074645942,0.8068776103132945,40.61023716475732,0.8299342042045745,-0.011081946518326502,0.0377744843369261,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,183146,2000,Danger,1.0000006128937884,0.9999996935532078,50.88999203373788,0.9326052575887199,0.09158910686581889,7.550378294509263E-8,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,191065,2000,Danger,1.0015698779819358,0.9992157129205632,47.84346476825856,0.9225275689078832,0.0815114181849822,2.926012729261597E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,198984,2000,Danger,1.0000000000416622,0.9999999999791689,50.43936938420179,0.7432695898137174,-0.09774656090918366,9.137432115158618E-13,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,206903,2000,Danger,1.001465403118181,0.9992678384830187,46.784840844887285,0.8175760438352797,-0.023440106887621326,4.0513222728825283E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,214822,2000,Danger,1.000004913832084,0.9999975430918838,49.62646026066627,0.9520492041165719,0.11103305339367087,2.145345761555767E-7,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,222741,2000,Danger,1.0000000000002225,0.9999999999998888,45.83381031135043,0.9622883610708678,0.12127221034796676,1.0585050793866788E-14,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,230660,2000,Danger,1.0000000634348243,0.999999968282589,49.0483425650075,0.9036239346158239,0.06260778389292287,7.343377387779186E-9,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
