"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","sampling","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.angular$1:179","61","990727904"
"vectorProfile","allocation","sampling","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.dot$1:147","30","859599592"
"vectorProfile","allocation","sampling","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.evaluate$1:84","821","16499278536"
"vectorProfile","allocation","sampling","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.evaluate$1:86","183","3727118504"
"vectorProfile","allocation","sampling","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:154","13","115682648"
"vectorProfile","allocation","sampling","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:156","3","16149264"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.accepted$1:172","24","342421592"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.angular$1:179","10","136757592"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.dot$1:147","8","117125920"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.evaluate$1:86","113","1601303648"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:146","1","29347736"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:152","1","6289064"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:154","4","32795312"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:156","6","91875184"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:158","2","10479608"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:198","1","2097448"
"vectorProfile","allocation","sampling","scala.collection.immutable.Vector1","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.quantile$$anonfun$1:130","98","3266568256"
"vectorProfile","allocation","sampling","scala.collection.immutable.VectorBuilder","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.angular$1:179","30","439961496"
"vectorProfile","allocation","sampling","scala.collection.immutable.VectorBuilder","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.dot$1:147","12","106901888"
"vectorProfile","allocation","sampling","scala.collection.immutable.VectorBuilder","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:154","4","25332728"
"vectorProfile","allocation","sampling","scala.collection.immutable.VectorBuilder","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:156","2","21378208"
