"jvm","diagnosticHotspot","shape","values","round","stage","iterations","seconds","allocatedBytes","fingerprint"
"0","row","ties","1024","2","mergeRank","62","0.002069401","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","2","radixRank","62","0.001410701","3574712","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","2","summary","62","0.013445799","43516600","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","2","mergeSort","62","9.69001E-4","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","2","radixSort","62","9.004E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","3","scoresAndScatter","62","4.71299E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","3","radixSort","62","9.123E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","3","mergeSort","62","9.28201E-4","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","3","summary","62","0.013505499","43516600","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","3","radixRank","62","0.0014048","3574712","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","3","mergeRank","62","0.0020851","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","4","radixRank","62","0.0014779","3574768","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","4","summary","62","0.0146931","43513744","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","4","mergeSort","62","9.38701E-4","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
