case,seed,method,status,truth,estimate,pilotCalls,productionCalls,componentCalls,seconds
two_tail,95013,weighted,Fitted,6.334248366623984E-5,6.206880893161713E-5,3000,9000,3604,0.0089195
two_tail,95013,supplied,Completed,6.334248366623984E-5,6.27020595531123E-5,0,12000,0,0.0075316
two_tail,95013,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0035821
two_tail,95014,weighted,Fitted,6.334248366623984E-5,6.3675804300279E-5,3000,9000,4288,0.0088642
two_tail,95014,supplied,Completed,6.334248366623984E-5,6.595192444494616E-5,0,12000,0,0.0070957
two_tail,95014,prior,Completed,6.334248366623984E-5,8.333333333333338E-5,0,12000,0,0.0036456
two_tail,95014,single,Fitted,6.334248366623984E-5,6.104779041335178E-5,2000,10000,0,0.0072915
two_tail,95015,supplied,Completed,6.334248366623984E-5,6.245040303107282E-5,0,12000,0,0.0071692
two_tail,95015,prior,Completed,6.334248366623984E-5,8.333333333333338E-5,0,12000,0,0.0034059
two_tail,95015,single,Fitted,6.334248366623984E-5,6.816274480711109E-5,2000,10000,0,0.0058776
