target,seed,budget,method,coordinate,mean,error,mcse,ess,status,maxWeight,k,covered95,accurate,pilotCalls,pilotDraws,fallback,draws,evaluations,seconds
gamma-heldout,1001156181,20000,defensive,1,1.854536465013102,-1.3877780651538885E-5,0.00214752356154515,6741.193563059519,ChecksPassed,5.085865805943896E-4,0.15739979692963163,true,true,10000,535,false,10000,20000,0.0114183
gamma-heldout,1001164100,20000,defensive,0,2.133987877707991,-4.594702146452079E-4,0.002180812242901353,6221.156382553793,ChecksPassed,2.5242804821436063E-4,-0.8717639626486796,true,true,10000,538,false,10000,20000,0.0098813
gamma-heldout,1001164100,20000,defensive,1,1.8536529314011054,-8.974113926480953E-4,0.0020726731282694373,6221.156382553793,ChecksPassed,2.5242804821436063E-4,-0.8717639626486796,true,true,10000,538,false,10000,20000,0.0098813
gamma-heldout,1001172019,20000,defensive,0,2.1331939628809375,-0.0012533850416986958,0.002079452518964452,5899.590107651652,ChecksPassed,2.6900595758258707E-4,-0.9564175480261717,true,true,10000,526,false,10000,20000,0.0107379
gamma-heldout,1001172019,20000,defensive,1,1.8557422445417435,0.0011919017479899985,0.002095479378058025,5899.590107651652,ChecksPassed,2.6900595758258707E-4,-0.9564175480261717,true,true,10000,526,false,10000,20000,0.0107379
gamma-heldout,1001179938,20000,defensive,0,2.1410276862424498,0.006580338319813528,0.00219180588015236,6396.446412602755,ChecksPassed,0.0010768624854102583,0.5538016419335874,false,true,10000,529,false,10000,20000,0.0097725
gamma-heldout,1001179938,20000,defensive,1,1.8466012893444135,-0.007949053449340049,0.002418167699209897,6396.446412602755,ChecksPassed,0.0010768624854102583,0.5538016419335874,false,true,10000,529,false,10000,20000,0.0097725
gamma-heldout,1001187857,20000,defensive,0,2.1352309179848983,7.835700622620401E-4,0.002128735973863207,5977.446759759633,ChecksPassed,2.592809335119558E-4,-0.9118831675643698,true,true,10000,540,false,10000,20000,0.0099795
gamma-heldout,1001187857,20000,defensive,1,1.852663544868248,-0.0018867979255055012,0.002172268232025065,5977.446759759633,ChecksPassed,2.592809335119558E-4,-0.9118831675643698,true,true,10000,540,false,10000,20000,0.0099795
gamma-heldout,1001195776,20000,defensive,0,2.1308301201131954,-0.0036172278094408483,0.002140965017058041,5838.582720209007,ChecksPassed,2.750187283726526E-4,-0.8267031160226562,true,true,10000,553,false,10000,20000,0.0097819
gamma-heldout,1001195776,20000,defensive,1,1.857904406519016,0.0033540637252624794,0.002071048237856917,5838.582720209007,ChecksPassed,2.750187283726526E-4,-0.8267031160226562,true,true,10000,553,false,10000,20000,0.0097819
gamma-heldout,1001203695,20000,defensive,0,2.136502617629355,0.0020552697067186543,0.0022220909138734534,6154.331195579287,ChecksPassed,2.4926976686675607E-4,-0.9838974468087365,true,true,10000,531,false,10000,20000,0.0097523
