blocked,workload,strategy,round,seed,method,query,truth,estimate,error,fullWidth,covered,criteriaMet,reason,drawsPerChain,checks,apiSeconds,rHat,bulkEss,meanEss,meanEssPerSecond,acceptance
blocked,normal,block,12,157031,fixed,x,0.0,0.014710396034725015,0.014710396034725015,0.05183729598552734,true,true,FixedBudget,12000,1,0.1307742,1.0011936682606555,6844.328219421214,6842.919786425865,52326.22173506597,0.35733333333333334
blocked,normal,block,12,157031,fixed,y,0.0,-0.0032824194254088557,-0.0032824194254088557,0.05266767536236812,true,true,FixedBudget,12000,1,0.1307742,1.0008031289861599,6495.273891617633,6492.996311665029,49650.438019617235,0.35733333333333334
blocked,normal,block,12,157031,adaptive,x,0.0,0.0833937663237947,0.0833937663237947,0.12197721258616943,false,true,PrecisionReached,2000,1,0.0221421,1.0048668523838755,1271.160357751287,1271.1714827765031,57409.7074250637,0.34700000000000003
blocked,normal,block,12,157031,adaptive,y,0.0,-0.00823943637447,-0.00823943637447,0.1236576141917528,true,true,PrecisionReached,2000,1,0.0221421,1.0043293330460168,991.4411719416709,996.4384846853783,45001.986473070676,0.34700000000000003
blocked,correlated,default,12,157031,fixed,x,0.0,0.06270627148691107,0.06270627148691107,0.15022915868976403,true,false,FixedBudget,12000,1,0.1071347,1.1036180558759872,32.90933826486154,31.837986618979887,297.17716686544964,0.15054166666666668
blocked,correlated,default,12,157031,fixed,y,0.0,0.061239864107468844,0.061239864107468844,0.14847023509712248,true,false,FixedBudget,12000,1,0.1071347,1.105147408954323,32.139174172503395,31.26841324931459,291.8607439915787,0.15054166666666668
blocked,correlated,default,12,157031,adaptive,x,0.0,0.06270627148691107,0.06270627148691107,0.15022915868976403,true,false,MaxDrawsReached,12000,6,0.3096766,1.1036180558759872,32.90933826486154,31.837986618979887,102.81043714307081,0.15054166666666668
blocked,correlated,default,12,157031,adaptive,y,0.0,0.061239864107468844,0.061239864107468844,0.14847023509712248,true,false,MaxDrawsReached,12000,6,0.3096766,1.105147408954323,32.139174172503395,31.26841324931459,100.97118493717184,0.15054166666666668
blocked,correlated,diagonal,13,164950,fixed,x,0.0,0.015628953537559886,0.015628953537559886,0.09331758166081665,true,true,FixedBudget,12000,1,0.1193557,1.006640841675071,820.5520248906225,817.7492518262783,6851.36320951809,0.084
blocked,correlated,diagonal,13,164950,fixed,y,0.0,0.018882626177265546,0.018882626177265546,0.09334694436732745,true,true,FixedBudget,12000,1,0.1193557,1.0072872636239611,801.1091801080568,802.7481556416438,6725.679256555354,0.084
