case,seed,draws,pilotCalls,reference,tolerance,mean,rawMcse,batchMcse,varianceEss,queryK,health,coveredRaw,coveredBatch,accurate,queryFlag
normal,5942564,40000,0,0.0,0.1,-0.0058687413872786556,0.0044089932317771495,0.0034308699890638547,27657.513430266277,-1.7278889029937226,ChecksPassed,true,true,true,false
normal,6047293,2000,0,0.0,0.1,-0.021636555685680993,0.019714707722636737,0.021562155079579034,1394.2328372737047,-1.5975239367697849,ChecksPassed,true,true,true,false
normal,6047293,10000,0,0.0,0.1,0.0014665375086128317,0.0087577621031883,0.010191312479689373,6909.350524321871,-1.1521887404747864,ChecksPassed,true,true,true,false
normal,6047293,40000,0,0.0,0.1,0.006673049723793101,0.004368686026430279,0.00345753884589535,27466.73788953946,-1.7617207208658534,ChecksPassed,true,true,true,false
normal,6152022,2000,0,0.0,0.1,-0.015773043124851328,0.019544860137112572,0.016173191885858033,1391.788788543009,-1.377847867450295,ChecksPassed,true,true,true,false
normal,6152022,10000,0,0.0,0.1,0.005722317926328461,0.008708524739579905,0.011114456184619677,6892.448502946574,-1.8670516613266532,ChecksPassed,true,true,true,false
normal,6152022,40000,0,0.0,0.1,-0.004607137108430568,0.004394463876256379,0.003889208195533363,27608.988792972144,-1.7640489721170827,ChecksPassed,true,true,true,false
normal,6256751,2000,0,0.0,0.1,0.0018622804975993324,0.01993853331908442,0.018169280693328512,1392.8082159374276,-1.1432704866259449,ChecksPassed,true,true,true,false
normal,6256751,10000,0,0.0,0.1,-7.507828025569881E-4,0.008793963148915052,0.009017532574638037,6919.672154463745,-1.1999612000916056,ChecksPassed,true,true,true,false
normal,6256751,40000,0,0.0,0.1,0.0051588156954997305,0.004389619087423709,0.004760676327839338,27550.00527380377,-1.8399756159966478,ChecksPassed,true,true,true,false
normal,6361480,2000,0,0.0,0.1,-0.004390994130833433,0.01984942857713055,0.022125299668191604,1400.0927390372065,-1.1467420010299636,ChecksPassed,true,true,true,false
normal,6361480,10000,0,0.0,0.1,0.0014587325885411823,0.008703212487212942,0.008512284014793599,6833.911170049613,-1.1960178407727988,ChecksPassed,true,true,true,false
normal,6361480,40000,0,0.0,0.1,3.311824605849979E-4,0.004389055652118534,0.00433897355016788,27551.845634966565,-1.2072275031509483,ChecksPassed,true,true,true,false
normal,6466209,2000,0,0.0,0.1,0.0017358446937455264,0.01956251579506958,0.022230329010229276,1401.0682697143955,-1.1158563521229974,ChecksPassed,true,true,true,false
normal,6466209,10000,0,0.0,0.1,0.005712133004676267,0.008711651673857766,0.009074550681597413,6908.895648830088,-1.9070241123500922,ChecksPassed,true,true,true,false
normal,6466209,40000,0,0.0,0.1,0.003127628032697142,0.004362653583694079,0.0035565231375286194,27561.204528240833,-1.7824280259693814,ChecksPassed,true,true,true,false
normal,6570938,2000,0,0.0,0.1,-0.011568313576272542,0.02015258033330071,0.016699160470243547,1400.0433415515054,-1.516626960411751,ChecksPassed,true,true,true,false
normal,6570938,10000,0,0.0,0.1,-0.011476942439308165,0.008803203801167976,0.007181001815338257,6920.823585837566,-1.799112410494121,ChecksPassed,true,true,true,false
normal,6570938,40000,0,0.0,0.1,-0.006360374913786863,0.00438205611579692,0.003704700108872336,27546.790934820878,-1.829921205560874,ChecksPassed,true,true,true,false
normal,6675667,2000,0,0.0,0.1,0.01945484151342796,0.01974524969029356,0.023481921430539614,1383.3782825384665,-1.479582722984116,ChecksPassed,true,true,true,false
normal,6675667,10000,0,0.0,0.1,0.006234787643334521,0.008729618421138846,0.008022800139832918,6864.398110310751,-1.6706938996632454,ChecksPassed,true,true,true,false
normal,6675667,40000,0,0.0,0.1,-7.978717477591396E-4,0.004395992954884912,0.004901943378401149,27591.865212739598,-1.798601051394771,ChecksPassed,true,true,true,false
normal,6780396,2000,0,0.0,0.1,-0.007054327640132276,0.019653894375032503,0.026915493200287955,1375.811960988849,-1.239490210420492,ChecksPassed,true,true,true,false
normal,6780396,10000,0,0.0,0.1,9.49026109531532E-6,0.008848872938703935,0.010173763776655381,6921.684324187397,-1.7228357095263245,ChecksPassed,true,true,true,false
normal,6780396,40000,0,0.0,0.1,0.007648268977437922,0.004368361031403899,0.0053900521951112225,27596.225106735947,-1.7333314146333145,ChecksPassed,true,true,true,false
normal,6885125,2000,0,0.0,0.1,-0.004044879016742829,0.019918197890649064,0.02056593812499031,1392.4791176735837,-0.8060376721166671,ChecksPassed,true,true,true,false
normal,6885125,10000,0,0.0,0.1,0.0035013623106686883,0.008786643440766576,0.009580309824099107,6914.70983759279,-1.6033782734454254,ChecksPassed,true,true,true,false
