"research","target","sampler","round","seed","method","draws","query","truth","estimate","fullWidth","covered","criteriaMet","reason","meanEss","evaluationsFullRun","failureReasons"
"research","banana","figaro-block","16","267715","fixed","12000","x","0.0","-0.008960755189348246","0.11467915706065787","true","true","FixedBudget","2034.932294877543","80099",""
"research","banana","figaro-block","16","267715","fixed","12000","xSquared","1.0","1.0084406209095862","0.16836811248517902","true","true","FixedBudget","1930.985761181528","80099",""
"research","banana","figaro-block","16","267715","fixed","12000","y","0.0","0.00825703482689455","0.08637385809656443","true","true","FixedBudget","2065.4778007656028","80099",""
"research","banana","figaro-block","16","267715","fixed","12000","ySquared","0.57","0.5806747821225968","0.18248548948070947","true","true","FixedBudget","1478.7714878765414","80099",""
"research","banana","figaro-block","16","267715","stopped","10000","event","0.045500263896358334","0.0461","0.024722938209617292","true","true","PrecisionReached","1909.4514275899578","80099",""
"research","banana","figaro-block","16","267715","stopped","10000","x","0.0","-0.014391937765004137","0.12377194158949206","true","true","PrecisionReached","1749.605916211042","80099",""
"research","banana","figaro-block","16","267715","stopped","10000","xSquared","1.0","1.0101100713249296","0.1847455683225956","true","true","PrecisionReached","1627.9126011769895","80099",""
"research","banana","figaro-block","16","267715","stopped","10000","y","0.0","0.00667192740427458","0.09547298120852132","true","true","PrecisionReached","1712.6703583609476","80099",""
"research","banana","figaro-block","16","267715","stopped","10000","ySquared","0.57","0.5882509087054748","0.20728017355514602","true","true","PrecisionReached","1230.535811176391","80099",""
"research","banana","figaro-block","17","275634","fixed","12000","event","0.045500263896358334","0.04010416666666667","0.02108720872265747","true","true","FixedBudget","2297.622142287855","79939",""
"research","banana","figaro-block","17","275634","fixed","12000","x","0.0","6.00408317368406E-4","0.10070928202240682","true","true","FixedBudget","2538.4219399694953","79939",""
"research","banana","figaro-block","17","275634","fixed","12000","xSquared","1.0","0.9700626320934309","0.1510104962353179","true","true","FixedBudget","2060.4382486468453","79939",""
"research","banana","figaro-block","17","275634","fixed","12000","y","0.0","-0.02057301598103578","0.07796063543099462","true","true","FixedBudget","2300.254263254396","79939",""
