fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gaussian-local,1,13,2,13,gvm-em,IterationLimit,800,3000,-1.0308161125654878,0.016725040846848935,0.15966666666666668,0.161,205.4591,0.949,0.5556,11319
gaussian-local,1,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.161,198.0753,,,0
gaussian-local,1,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.161,200.087,,,0
gaussian-local,1,27,4,27,gvm-em,IterationLimit,800,3000,-1.0430999907833136,0.017159635259511575,0.15066666666666667,0.161,457.4225,1.4919,0.5829,26477
gaussian-local,2,6,1,6,gvm-em,Converged,800,3000,-1.080748526658567,0.01933588109908856,0.14333333333333334,0.16166666666666665,4.9469,0.6184,0.5034,216
gaussian-local,2,6,1,5,gmm-chart-em,Fitted,800,3000,-1.080822521990679,0.0193401647776935,0.16366666666666665,0.16166666666666665,1.3068,0.7399,0.4789,0
gaussian-local,2,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.080822521990679,0.0193401647776935,0.16366666666666665,0.16166666666666665,0.9881,1.1419,0.4721,0
gaussian-local,2,13,2,13,gvm-em,IterationLimit,800,3000,-1.0887570480071427,0.01994126408695646,0.15133333333333332,0.16166666666666665,240.5428,0.9684,0.5582,13424
gaussian-local,2,13,2,11,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.16166666666666665,99.7219,,,0
gaussian-local,2,13,2,11,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.16166666666666665,100.5528,,,0
gaussian-local,2,27,4,27,gvm-em,IterationLimit,800,3000,-1.0983423442922766,0.02081918966926286,0.15066666666666667,0.16166666666666665,460.6827,1.4681,0.5708,26792
gaussian-local,2,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.16166666666666665,197.7797,,,0
gaussian-local,2,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.16166666666666665,197.8464,,,0
gaussian-local,3,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.0614774182041253,0.018281003037798838,0.172,0.15433333333333332,1.243,1.1858,0.5352,0
gaussian-local,3,6,1,5,gmm-chart-em,Fitted,800,3000,-1.0614774182041253,0.018281003037798838,0.172,0.15433333333333332,1.0234,0.7804,0.5218,0
gaussian-local,3,6,1,6,gvm-em,Converged,800,3000,-1.0632532314737226,0.0183706207516774,0.16333333333333333,0.15433333333333332,4.9998,0.6111,0.5068,216
gaussian-local,3,13,2,11,gmm-wrapped-em,Fitted,800,3000,-1.071129547334044,0.018761506310599165,0.18266666666666667,0.15433333333333332,35.351,2.09,0.6567,0
gaussian-local,3,13,2,11,gmm-chart-em,Fitted,800,3000,-1.0711295473340439,0.018761506310599165,0.18266666666666667,0.15433333333333332,36.9589,1.2658,0.5833,0
gaussian-local,3,13,2,13,gvm-em,Converged,800,3000,-1.0720150924431322,0.01872493941642848,0.17033333333333334,0.15433333333333332,226.8984,0.9545,0.5644,12530
