model,method,seed,draws,estimate,truth,ess,seconds
2,3,98009,6000,0.47112712191182393,0.47521106785827344,5964.580311361222,0.003837
2,0,98009,6000,0.47112712191182393,0.47521106785827344,5964.580311361222,0.0346686
2,2,98010,6000,0.4780430444273615,0.47521106785827344,5965.688332359375,0.0051642
2,3,98010,6000,0.4780430444273615,0.47521106785827344,5965.688332359375,0.0044948
2,0,98010,6000,0.4780430444273615,0.47521106785827344,5965.688332359375,0.0356588
2,1,98010,6000,0.48112713906169785,0.47521106785827344,4745.286288720593,0.0021609
2,3,98011,6000,0.4844294631884964,0.47521106785827344,5970.632821419107,0.0038819
2,0,98011,6000,0.4844294631884964,0.47521106785827344,5970.632821419107,0.0407853
2,1,98011,6000,0.4940886277804479,0.47521106785827344,4755.352674474867,0.0023095
2,2,98011,6000,0.4844294631884964,0.47521106785827344,5970.632821419107,0.0046289
2,0,98012,6000,0.48045956417353197,0.47521106785827344,5964.745727801297,0.0340645
2,1,98012,6000,0.4728567934146856,0.47521106785827344,4786.447474878514,0.002123
2,2,98012,6000,0.48045956417353197,0.47521106785827344,5964.745727801297,0.0045021
2,3,98012,6000,0.48045956417353197,0.47521106785827344,5964.745727801297,0.0035536
2,1,98013,6000,0.46725250424742554,0.47521106785827344,4726.459705491045,0.0024934
2,2,98013,6000,0.45851210748073995,0.47521106785827344,5961.2147005908,0.0048762
2,3,98013,6000,0.45851210748073995,0.47521106785827344,5961.2147005908,0.0035916
2,0,98013,6000,0.45851210748073995,0.47521106785827344,5961.2147005908,0.0346294
2,2,98014,6000,0.467867185719197,0.47521106785827344,5964.978465090898,0.0079033
2,3,98014,6000,0.467867185719197,0.47521106785827344,5964.978465090898,0.0039719
2,0,98014,6000,0.467867185719197,0.47521106785827344,5964.978465090898,0.0340766
2,1,98014,6000,0.4664097213943786,0.47521106785827344,4751.400077040749,0.0021232
2,3,98015,6000,0.48295439779977195,0.47521106785827344,5970.109127132467,0.0037963
2,0,98015,6000,0.48295439779977195,0.47521106785827344,5970.109127132467,0.0346717
2,1,98015,6000,0.4739500227774308,0.47521106785827344,4749.292704831824,0.002109
2,2,98015,6000,0.48295439779977195,0.47521106785827344,5970.109127132467,0.0045445
2,0,98016,6000,0.4754197119841778,0.47521106785827344,5967.65425112974,0.0336285
2,1,98016,6000,0.4790673410836972,0.47521106785827344,4762.132809884472,0.0021004
