fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
separated,103001,4,gvm-regression,27,completed,1200,4000,4000,-0.010178321684032274,-2.432922863952559,0.3635,0.37925,0.3328,1.4746,0.7139
separated,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.010178321684032274,-2.431048266021878,0.37075,0.37925,0.3669,2.9561,0.7142
separated,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.04887037824077793,-2.6303920542940253,0.2405,0.36275,0.4769,0.8046,0.4677
separated,103002,1,gvm-regression,6,completed,1200,4000,4000,-0.04887037824077793,-2.6345901540973005,0.24375,0.36275,0.4736,0.5944,0.6465
separated,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.04887037824077793,-2.3941717861284335,0.35475,0.36275,0.3024,1.6447,0.489
separated,103002,2,gvm-regression,13,completed,1200,4000,4000,-0.04887037824077793,-2.3899710688118874,0.367,0.36275,0.4201,0.9352,0.7009
separated,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.04887037824077793,-2.4315609038284474,0.342,0.36275,0.3353,2.8804,0.5409
separated,103002,4,gvm-regression,27,completed,1200,4000,4000,-0.04887037824077793,-2.4288578346624856,0.361,0.36275,0.4886,1.5034,0.6893
separated,103003,1,gvm-regression,6,completed,1200,4000,4000,0.03780751188475695,-2.6783767682969226,0.26325,0.356,0.5692,0.6699,0.769
separated,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,0.03780751188475695,-2.6709698996466096,0.2595,0.356,0.5545,0.8052,0.5907
separated,103003,2,gvm-regression,13,completed,1200,4000,4000,0.03780751188475695,-2.4521580787996475,0.3585,0.356,0.4621,0.9814,0.7307
separated,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,0.03780751188475695,-2.446186545893795,0.371,0.356,0.5689,1.5698,0.4841
separated,103003,4,gvm-regression,27,completed,1200,4000,4000,0.03780751188475695,-2.4937296655638654,0.351,0.356,0.3784,1.5118,0.6874
separated,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,0.03780751188475695,-2.4978441310631947,0.36375,0.356,0.4346,2.924,0.5419
separated,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,0.010937177105002294,-2.633772944486629,0.26125,0.3795,0.5193,0.7867,0.5101
separated,103004,1,gvm-regression,6,completed,1200,4000,4000,0.010937177105002294,-2.6382423250292204,0.259,0.3795,0.5109,0.583,0.6969
separated,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,0.010937177105002294,-2.373109107335278,0.3765,0.3795,0.3316,1.6596,0.5019
separated,103004,2,gvm-regression,13,completed,1200,4000,4000,0.010937177105002294,-2.3748483820931665,0.38575,0.3795,0.4005,0.9014,0.6783
separated,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,0.010937177105002294,-2.4174254260911314,0.37225,0.3795,0.4214,2.8828,0.5932
separated,103004,4,gvm-regression,27,completed,1200,4000,4000,0.010937177105002294,-2.418151009652793,0.38475,0.3795,0.3818,1.4925,0.678
