jvm,seed,model,method,draws,nanos,covered,precision,error
2,0,2,0,31200,14693900,true,true,0.019997314923989207
2,0,2,1,500,2409300,true,true,0.016649423766040006
2,0,3,0,31200,102696500,true,true,0.019997314923989262
2,0,3,1,500,3557800,true,true,0.016635938797892214
2,1,0,1,22200,114230000,true,true,0.019971456419683897
2,1,0,0,31200,6002800,true,true,0.019997314923989262
2,1,1,1,500,1623200,true,true,0.019258740607810257
2,1,1,0,31200,4137600,true,true,0.019997314923989155
2,1,2,1,500,2044100,true,true,0.016648972611980395
2,1,2,0,31200,15498500,true,true,0.019997314923989207
2,1,3,1,500,3553700,true,true,0.01663593159187332
2,1,3,0,31200,80110300,true,true,0.019997314923989207
2,2,0,0,31200,4391400,true,true,0.019997314923989207
2,2,0,1,21900,129685700,true,true,0.019995433611862956
2,2,1,0,31200,10820200,true,true,0.019997314923989155
2,2,1,1,500,1952400,true,true,0.01695286080233314
2,2,2,0,31200,25186900,true,true,0.019997314923989207
2,2,2,1,500,2517900,true,true,0.016649980124603503
2,2,3,0,31200,80323500,true,true,0.019997314923989207
2,2,3,1,500,2967100,true,true,0.01663594333871793
2,3,0,1,21500,100207600,true,true,0.01996891533956585
2,3,0,0,31200,5843700,true,true,0.019997314923989207
2,3,1,1,500,940500,true,true,0.017724732147099593
2,3,1,0,31200,5267700,true,true,0.019997314923989155
2,3,2,1,500,2724900,true,true,0.01664823219856798
2,3,2,0,31200,15965300,true,true,0.019997314923989262
2,3,3,1,500,3401100,true,true,0.01663592336186881
2,3,3,0,31200,77207800,true,true,0.019997314923989262
2,4,0,0,31200,4127200,true,true,0.019997314923989207
2,4,0,1,21900,83736900,true,true,0.019987217733080598
2,4,1,0,31200,2691800,true,true,0.019997314923989155
2,4,1,1,500,564800,true,true,0.01695286080233314
2,4,2,0,31200,7457400,true,true,0.019997314923989262
2,4,2,1,500,1293500,true,true,0.016648844305329202
2,4,3,0,31200,72132300,true,true,0.019997314923989207
2,4,3,1,500,2240400,true,true,0.016635915962367687
2,5,0,1,21800,51708000,true,true,0.019994782339531836
2,5,0,0,31200,3321500,true,true,0.019997314923989207
2,5,1,1,500,661700,true,true,0.017724020168585375
2,5,1,0,31200,2530600,true,true,0.019997314923989155
2,5,2,1,500,1250600,true,true,0.0166494379531823
2,5,2,0,31200,7044800,true,true,0.019997314923989207
2,5,3,1,500,2270100,true,true,0.01663593772763905
2,5,3,0,31200,71695500,true,true,0.019997314923989207
2,6,0,0,31200,3121600,true,true,0.019997314923989262
2,6,0,1,21800,52195000,true,true,0.01997576840336368
2,6,1,0,31200,2701800,true,true,0.019997314923989155
2,6,1,1,500,643500,true,true,0.01695286080233314
2,6,2,0,31200,8386500,true,true,0.019997314923989207
