fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-separated,2,6,1,5,gmm-chart-em,Fitted,800,3000,-2.6559217296386395,0.015480765209716479,0.25266666666666665,0.3636666666666667,1.1382,0.7377,0.5137,0
gvm-separated,2,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.659480846703844,0.015480765209716493,0.25166666666666665,0.3636666666666667,0.9246,1.0349,0.4988,0
gvm-separated,2,13,2,13,gvm-em,Converged,800,3000,-2.4053019038331516,0.0187817622058647,0.38566666666666666,0.3636666666666667,59.1016,1.0803,0.5682,3322
gvm-separated,2,13,2,11,gmm-chart-em,Fitted,800,3000,-2.404712286080681,0.018777378573554184,0.37466666666666665,0.3636666666666667,10.2783,1.4092,0.6547,0
gvm-separated,2,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4047127493240454,0.01877737857355419,0.37466666666666665,0.3636666666666667,10.0262,2.0407,0.5789,0
gvm-separated,2,27,4,27,gvm-em,IterationLimit,800,3000,-2.4305265913569185,0.02077581703006747,0.383,0.3636666666666667,455.353,1.426,0.5477,26826
gvm-separated,2,27,4,23,gmm-chart-em,Fitted,800,3000,-2.4074321396968026,0.018893423273362242,0.3903333333333333,0.3636666666666667,85.0093,2.1317,0.6545,0
gvm-separated,2,27,4,23,gmm-wrapped-em,Fitted,800,3000,-2.4074333194580997,0.01889342327336224,0.3903333333333333,0.3636666666666667,85.5888,3.5126,0.6796,0
gvm-separated,3,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.6308024868015503,0.014156731331845246,0.23733333333333334,0.4053333333333333,0.9194,1.086,0.5431,0
gvm-separated,3,6,1,5,gmm-chart-em,Fitted,800,3000,-2.6264807836624904,0.01415673133184526,0.23866666666666667,0.4053333333333333,0.9194,0.7775,0.5347,0
gvm-separated,3,6,1,6,gvm-em,Converged,800,3000,-2.63058002513651,0.014192899957964319,0.23466666666666666,0.4053333333333333,5.1881,0.7651,0.4906,216
gvm-separated,3,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.3638249827674276,0.016502191896829683,0.3333333333333333,0.4053333333333333,4.3798,1.9239,0.5159,0
gvm-separated,3,13,2,11,gmm-chart-em,Fitted,800,3000,-2.3638232085747273,0.016502191896829683,0.3333333333333333,0.4053333333333333,4.4161,1.1897,0.5113,0
gvm-separated,3,13,2,13,gvm-em,Converged,800,3000,-2.3633952949501245,0.01653075298134789,0.327,0.4053333333333333,79.5258,0.9242,0.5661,4416
gvm-separated,3,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.4053333333333333,161.5919,,,0
gvm-separated,3,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.4053333333333333,162.0637,,,0
gvm-separated,3,27,4,27,gvm-em,IterationLimit,800,3000,-2.366920004167442,0.016699781108394474,0.3283333333333333,0.4053333333333333,453.0719,1.4208,0.5382,26695
gvm-separated,4,6,1,6,gvm-em,Converged,800,3000,-2.6502344591747766,0.013998789663707097,0.275,0.37833333333333335,6.9252,0.6541,0.4945,324
gvm-separated,4,6,1,5,gmm-chart-em,Fitted,800,3000,-2.646036635808091,0.01390636247791432,0.25433333333333336,0.37833333333333335,1.0082,0.7503,0.4906,0
gvm-separated,4,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.6493466675670105,0.01390636247791431,0.25266666666666665,0.37833333333333335,1.8601,1.0608,0.5569,0
gvm-separated,4,13,2,13,gvm-em,Converged,800,3000,-2.402632169715565,0.01784767811268199,0.4096666666666667,0.37833333333333335,64.8304,0.9237,0.5226,3695
gvm-separated,4,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4017843968980643,0.017750558010595857,0.4066666666666667,0.37833333333333335,4.2554,1.2239,0.5385,0
gvm-separated,4,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4017860594884097,0.017750558010595854,0.4066666666666667,0.37833333333333335,4.0371,1.9123,0.567,0
gvm-separated,4,27,4,27,gvm-em,IterationLimit,800,3000,-2.41386483065471,0.018644672133956895,0.4053333333333333,0.37833333333333335,455.9556,1.4588,0.5537,27002
gvm-separated,4,27,4,23,gmm-chart-em,Fitted,800,3000,-2.4096516294142467,0.018161304076318836,0.4206666666666667,0.37833333333333335,61.6383,2.0942,0.5628,0
gvm-separated,4,27,4,23,gmm-wrapped-em,Fitted,800,3000,-2.4096543953237965,0.018161304076318843,0.4206666666666667,0.37833333333333335,60.4949,3.5276,0.5596,0
gaussian-local,0,6,1,6,gvm-em,Converged,800,3000,-1.0094317903830787,0.01867213267782775,0.13066666666666665,0.15433333333333332,5.0246,0.6042,0.471,222
gaussian-local,0,6,1,5,gmm-chart-em,Fitted,800,3000,-1.0084996409962703,0.018655558294203393,0.135,0.15433333333333332,0.9613,0.7365,0.4883,0
gaussian-local,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.0084996409962703,0.018655558294203393,0.135,0.15433333333333332,0.8694,1.1196,0.4716,0
gaussian-local,0,13,2,13,gvm-em,IterationLimit,800,3000,-1.0163045753052047,0.019106323456880382,0.13366666666666666,0.15433333333333332,238.2188,0.9191,0.5359,13343
gaussian-local,0,13,2,11,gmm-chart-em,Fitted,800,3000,-1.0123048279762163,0.01892103737504763,0.127,0.15433333333333332,48.5934,1.2502,0.637,0
gaussian-local,0,13,2,11,gmm-wrapped-em,Fitted,800,3000,-1.0123048279762163,0.018921037375047637,0.127,0.15433333333333332,47.2454,1.9488,0.5711,0
gaussian-local,0,27,4,27,gvm-em,IterationLimit,800,3000,-1.0293185159752714,0.019829344499444422,0.12833333333333333,0.15433333333333332,452.3477,1.4307,0.5351,26551
gaussian-local,0,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.15433333333333332,162.4101,,,0
gaussian-local,0,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.15433333333333332,162.2325,,,0
gaussian-local,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.0216864327078987,0.016217037047768185,0.14466666666666667,0.161,0.9619,1.1391,0.5302,0
gaussian-local,1,6,1,5,gmm-chart-em,Fitted,800,3000,-1.0216864327078985,0.016217037047768185,0.14466666666666667,0.161,0.9004,0.7668,0.5247,0
gaussian-local,1,6,1,6,gvm-em,Converged,800,3000,-1.0221150303674853,0.016234845155631537,0.14933333333333335,0.161,5.0831,0.6903,0.5113,216
gaussian-local,1,13,2,11,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.161,86.361,,,0
gaussian-local,1,13,2,11,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.161,84.9476,,,0
gaussian-local,1,13,2,13,gvm-em,IterationLimit,800,3000,-1.0308161125654878,0.016725040846848935,0.15966666666666668,0.161,201.5399,0.9307,0.5269,11319
gaussian-local,1,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.161,162.0944,,,0
gaussian-local,1,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.161,162.5106,,,0
gaussian-local,1,27,4,27,gvm-em,IterationLimit,800,3000,-1.0430999907833136,0.017159635259511575,0.15066666666666667,0.161,454.3157,1.4227,0.5423,26477
gaussian-local,2,6,1,6,gvm-em,Converged,800,3000,-1.080748526658567,0.01933588109908856,0.14333333333333334,0.16166666666666665,4.8414,0.6517,0.4706,216
gaussian-local,2,6,1,5,gmm-chart-em,Fitted,800,3000,-1.080822521990679,0.0193401647776935,0.16366666666666665,0.16166666666666665,1.2169,0.7319,0.4871,0
gaussian-local,2,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.080822521990679,0.0193401647776935,0.16366666666666665,0.16166666666666665,0.8524,1.1428,0.4847,0
gaussian-local,2,13,2,13,gvm-em,IterationLimit,800,3000,-1.0887570480071427,0.01994126408695646,0.15133333333333332,0.16166666666666665,239.4201,0.937,0.5312,13424
gaussian-local,2,13,2,11,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.16166666666666665,85.9933,,,0
