SV,mode,family,rng,seed,draws,parameter,mean,error,mcse,ess,maxWeight,covered95,withinPointOnePosteriorSd,seconds,underflows
SV,backends,gamma,Xoshiro256PlusPlus,1009,200000,1,1.8470270283027723,0.0022976813783204264,0.006501415729042267,479.36041390081965,0.00427669059485754,true,true,0.0303242,0
SV,backends,gamma,PCG_RXS_M_XS_64,1009,200000,0,2.1062908816486408,-0.0015790915209952239,0.006328047563155686,431.10251837485407,0.004430355997653048,true,true,0.0318004,0
SV,backends,gamma,PCG_RXS_M_XS_64,1009,200000,1,1.8414326852594445,-0.0032966616650074165,0.006245599524941908,431.10251837485407,0.004430355997653048,true,true,0.0318004,0
SV,backends,gamma,MT19937,1009,200000,0,2.1075121372834142,-3.578358862217357E-4,0.006852245888930547,422.4721310866413,0.004885244017919153,true,true,0.0326852,0
SV,backends,gamma,MT19937,1009,200000,1,1.847768849167303,0.0030395022428511,0.006976974747470304,422.4721310866413,0.004885244017919153,true,true,0.0326852,0
SV,backends,gamma,Random,1009,200000,0,2.104400237462768,-0.003469735706867816,0.0069016001281018416,458.1584735401824,0.004651609936683337,true,true,0.0310652,0
SV,backends,gamma,Random,1009,200000,1,1.8524326475622608,0.007703300637808885,0.006769927768820778,458.1584735401824,0.004651609936683337,true,true,0.0310652,0
SV,backends,dirichlet,L64X128MixRandom,1009,2000,0,0.8815923618155403,0.040576211092639314,0.0070222742234003,1.5084650429763704,0.7995647295907933,false,false,0.0041801,0
SV,backends,dirichlet,L64X128MixRandom,1009,2000,1,1.6567560012940004,-0.2541947539426346,0.10037283039245912,1.5084650429763704,0.7995647295907933,false,false,0.0041801,0
SV,backends,dirichlet,L64X128MixRandom,1009,2000,2,2.69605174684619,0.0557124681223371,0.1542803133677953,1.5084650429763704,0.7995647295907933,true,false,0.0041801,0
SV,backends,dirichlet,Xoshiro256PlusPlus,1009,2000,0,0.9533538600446207,0.11233770932171971,4.847481579253852E-6,1.0000289737998944,0.9999855133125987,false,false,0.0022797,0
SV,backends,dirichlet,Xoshiro256PlusPlus,1009,2000,1,1.7985657666787922,-0.11238498855784274,9.537722513669862E-6,1.0000289737998944,0.9999855133125987,false,false,0.0022797,0
SV,backends,dirichlet,Xoshiro256PlusPlus,1009,2000,2,2.7605187833950984,0.1201795046712455,5.597680481662967E-6,1.0000289737998944,0.9999855133125987,false,false,0.0022797,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,1009,2000,0,1.1028527192239395,0.2618365685010384,3.332000554584686E-8,1.0000002297285635,0.999999885135734,false,false,0.0021104,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,1009,2000,1,2.6954854257362277,0.7845346704995928,4.214684366972721E-8,1.0000002297285635,0.999999885135734,false,false,0.0021104,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,1009,2000,2,3.906783260676894,1.2664439819530413,0.0,1.0000002297285635,0.999999885135734,false,false,0.0021104,0
SV,backends,dirichlet,MT19937,1009,2000,0,1.0448772943149336,0.20386114359203256,0.0,1.000000098196119,0.9999999509019437,false,false,0.0021351,0
SV,backends,dirichlet,MT19937,1009,2000,1,2.292217138262092,0.381266383025457,0.0,1.000000098196119,0.9999999509019437,false,false,0.0021351,0
SV,backends,dirichlet,MT19937,1009,2000,2,3.3917136440881754,0.7513743653643226,8.429369288313138E-8,1.000000098196119,0.9999999509019437,false,false,0.0021351,0
SV,backends,dirichlet,Random,1009,2000,0,0.6348461298863838,-0.20617002083651725,9.155425872696229E-8,1.0000001843047857,0.9999999078476156,false,false,0.0018801,0
SV,backends,dirichlet,Random,1009,2000,1,2.033713450156533,0.12276269491989811,4.214684462696145E-8,1.0000001843047857,0.9999999078476156,false,false,0.0018801,0
SV,backends,dirichlet,Random,1009,2000,2,2.2032369551584914,-0.4371023235653615,9.884311213256471E-8,1.0000001843047857,0.9999999078476156,false,false,0.0018801,0
SV,backends,dirichlet,L64X128MixRandom,1009,20000,0,0.8656634339157706,0.024647283192869573,0.027495989151602722,2.2527969834865234,0.6331825779255582,true,false,0.0136794,0
SV,backends,dirichlet,L64X128MixRandom,1009,20000,1,1.8405975615866783,-0.07035319364995662,0.07078083579904117,2.2527969834865234,0.6331825779255582,true,false,0.0136794,0
SV,backends,dirichlet,L64X128MixRandom,1009,20000,2,2.475680464177441,-0.16465881454641185,0.2191007294880673,2.2527969834865234,0.6331825779255582,true,false,0.0136794,0
SV,backends,dirichlet,Xoshiro256PlusPlus,1009,20000,0,0.8364272540315643,-0.004588896691336775,0.005031923433466945,2.18623511193819,0.6215123040789636,true,true,0.0126583,0
SV,backends,dirichlet,Xoshiro256PlusPlus,1009,20000,1,1.9807051722418085,0.0697544170051736,0.0422219272241278,2.18623511193819,0.6215123040789636,true,false,0.0126583,0
SV,backends,dirichlet,Xoshiro256PlusPlus,1009,20000,2,2.795522987864246,0.15518370914039314,0.04857996138055372,2.18623511193819,0.6215123040789636,false,false,0.0126583,0
