case,method,seed,draws,mean,reference,ess,mcse,seconds
nonlinear,joint,322259692,4000,0.4860460179224575,0.5,2462.2331339024604,0.010072976865084252,0.028466500000000002
rare-event,prior,322259692,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.002926
rare-event,root,322259692,4000,3.5698636017476135E-5,3.167124183311997E-5,853.5588497303035,4.325259542345314E-6,0.004812
rare-event,joint,322259692,4000,3.038728111708736E-5,3.167124183311997E-5,456.04527810627195,1.8423800161307608E-6,0.0047958
hierarchical,prior,337745555,4000,0.9798472030458231,0.9803921568627451,363.26898221923506,0.006241533323420947,0.010043
hierarchical,root,337745555,4000,0.9839320372621447,0.9803921568627451,2072.838967443206,0.0033181581388595457,0.009652200000000001
hierarchical,joint,337745555,4000,0.9816148755964703,0.9803921568627451,3153.856794021684,0.0020298744281475713,0.0280759
nonlinear,prior,337745555,4000,0.5245378664165918,0.5,355.4677003945048,0.026473723652858636,0.0083079
nonlinear,root,337745555,4000,0.4822751057050284,0.5,1673.1663855252596,0.01221558123899712,0.0102512
nonlinear,joint,337745555,4000,0.4901408464621318,0.5,2453.4912143066795,0.010092449173427864,0.0283679
rare-event,prior,337745555,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0034703000000000004
rare-event,root,337745555,4000,3.213796379706198E-5,3.167124183311997E-5,825.7606871690593,4.139329165133631E-6,0.004636400000000001
rare-event,joint,337745555,4000,3.4452142736459935E-5,3.167124183311997E-5,419.7540199667511,2.150697631530615E-6,0.0048634
hierarchical,prior,353231418,4000,0.9955519290300882,0.9803921568627451,335.15234552854497,0.006853921718665043,0.0076128
hierarchical,root,353231418,4000,0.9785426996895077,0.9803921568627451,2066.2856320062333,0.0030647773154464978,0.0088311
hierarchical,joint,353231418,4000,0.9803930901673089,0.9803921568627451,3120.17711005257,0.0020219039017912374,0.028316
nonlinear,prior,353231418,4000,0.44117875786407784,0.5,363.9554291460577,0.026002328383307863,0.0081858
nonlinear,root,353231418,4000,0.4947962038648912,0.5,1653.2428042379352,0.01229574765841376,0.0101969
nonlinear,joint,353231418,4000,0.5093165117787174,0.5,2417.2055246948753,0.010167594728203097,0.028440700000000003
rare-event,prior,353231418,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0029443000000000004
rare-event,root,353231418,4000,2.8815503702343298E-5,3.167124183311997E-5,856.3205030270279,3.8008993439572016E-6,0.004874900000000001
rare-event,joint,353231418,4000,3.32481903697857E-5,3.167124183311997E-5,445.1765325625247,2.035980332572153E-6,0.0047016
hierarchical,prior,368717281,4000,0.9698874484177428,0.9803921568627451,318.7623933995034,0.006664057593395885,0.007451900000000001
hierarchical,root,368717281,4000,0.9822799747321661,0.9803921568627451,2062.1453203658184,0.0032060169583299587,0.0085229
hierarchical,joint,368717281,4000,0.978057980878338,0.9803921568627451,3110.081436105168,0.002037322761086178,0.0271534
nonlinear,prior,368717281,4000,0.4667922050779365,0.5,368.13260263782246,0.026010894287581084,0.007734
nonlinear,root,368717281,4000,0.4939054572779876,0.5,1628.963421424629,0.012388852252529257,0.011270800000000001
nonlinear,joint,368717281,4000,0.4958925390968059,0.5,2442.976191880338,0.010114906644831383,0.0289919
rare-event,prior,368717281,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0029546000000000004
rare-event,root,368717281,4000,3.6032714544329565E-5,3.167124183311997E-5,852.3954384314043,4.2548640012465805E-6,0.0046008
rare-event,joint,368717281,4000,2.804363928918521E-5,3.167124183311997E-5,480.2588986591239,1.7027263266524284E-6,0.004719500000000001
hierarchical,prior,384203144,4000,0.9841288867546932,0.9803921568627451,341.0234618927799,0.006929616159027333,0.0073807000000000005
hierarchical,root,384203144,4000,0.9837785222699942,0.9803921568627451,2076.2129846049493,0.003106833494841387,0.008791400000000001
hierarchical,joint,384203144,4000,0.9779406138042784,0.9803921568627451,3146.5827321518227,0.002035926118326524,0.0278708
nonlinear,prior,384203144,4000,0.4799664169290096,0.5,332.4216009013231,0.027396518132439592,0.0085605
nonlinear,root,384203144,4000,0.5251325599319066,0.5,1684.1535064097238,0.01215890984223106,0.0102977
nonlinear,joint,384203144,4000,0.4853790039709571,0.5,2486.482151709913,0.01002298534875604,0.034188
rare-event,prior,384203144,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0030192
rare-event,root,384203144,4000,2.732462518955524E-5,3.167124183311997E-5,863.3131796448754,3.6929905239207024E-6,0.0047328000000000005
rare-event,joint,384203144,4000,3.147064267261361E-5,3.167124183311997E-5,426.6178198807464,1.9717427111234527E-6,0.0046960000000000005
hierarchical,prior,399689007,4000,0.9874241445263259,0.9803921568627451,338.8038302448803,0.006695868888508298,0.0080111
