jvm,seed,model,draws,method,mean,truth,ess,nanos,heap_delta
0,8,0,20000,0,0.5020540485667326,0.5,14569.558178748042,41816500,150994944
0,8,0,20000,1,0.5021225518086276,0.5,14598.352433338327,6171800,12582912
0,8,0,20000,2,0.5021225518086276,0.5,14598.352433338327,4947600,12582912
0,8,0,20000,3,0.5021225518086276,0.5,14598.352433338327,4881000,20971520
0,8,1,2000,0,0.9940142610075904,0.9900990099009901,155.28495636500637,5631800,16777216
0,8,1,2000,1,0.9883307605328631,0.9900990099009901,160.52264280452005,765300,0
0,8,1,2000,2,0.9883307605328631,0.9900990099009901,160.52264280452005,967300,4194304
0,8,1,2000,3,0.9883307605328631,0.9900990099009901,160.52264280452005,1369100,8388608
0,8,1,20000,0,0.9892212779561723,0.9900990099009901,1677.1457702232997,40327900,146800640
0,8,1,20000,1,0.9894997999742969,0.9900990099009901,1685.6113367809367,5420400,12582912
0,8,1,20000,2,0.9894997999742969,0.9900990099009901,1685.6113367809367,5035700,16777216
0,8,1,20000,3,0.9894997999742969,0.9900990099009901,1685.6113367809367,4622100,16777216
0,8,2,2000,0,0.47939490624213393,0.49679988368583794,1449.87982541939,21772700,88080384
0,8,2,2000,1,0.47950324208643624,0.49679988368583794,1462.5861475305871,1387400,0
0,8,2,2000,2,0.47950324208643624,0.49679988368583794,1462.5861475305871,1502900,8388608
0,8,2,2000,3,0.47950324208643624,0.49679988368583794,1462.5861475305871,1207400,8388608
0,8,2,20000,0,0.4988243502307123,0.49679988368583794,14627.196372543489,253729400,-143159632
0,8,2,20000,1,0.4988953975209961,0.49679988368583794,14656.079845446724,11210000,12582912
0,8,2,20000,2,0.4988953975209961,0.49679988368583794,14656.079845446724,13288200,16777216
0,8,2,20000,3,0.4988953975209961,0.49679988368583794,14656.079845446724,7619400,16777216
0,9,0,2000,3,0.49666635031027473,0.5,1450.3521038284016,1279100,12582912
0,9,0,2000,2,0.49666635031027473,0.5,1450.3521038284016,984500,4194304
0,9,0,2000,1,0.49666635031027473,0.5,1450.3521038284016,722100,0
0,9,0,2000,0,0.4716203907806936,0.5,1464.1373708970918,5755600,16777216
0,9,0,20000,3,0.5041560938995097,0.5,14663.041923738092,4689400,16777216
0,9,0,20000,2,0.5041560938995097,0.5,14663.041923738092,4704300,16777216
0,9,0,20000,1,0.5041560938995097,0.5,14663.041923738092,5468100,8388608
0,9,0,20000,0,0.5065190278704247,0.5,14669.12078647373,41285500,150994944
0,9,1,2000,3,0.9854936748220935,0.9900990099009901,174.89607995489996,1789900,8388608
0,9,1,2000,2,0.9854936748220935,0.9900990099009901,174.89607995489996,7867600,-1020641088
0,9,1,2000,1,0.9854936748220935,0.9900990099009901,174.89607995489996,944800,0
