jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
1,mixture,legacy,8000,224316222,Completed,0.6293558606124561,NaN,NaN,8000,0,0,0.0,0.0,0.0067301,0.631578947368421
1,mixture,prior,8000,224316222,Completed,0.6293558606124298,5246.41462522821,NaN,8000,0,56000,0.0,0.0,0.014813600000000001,0.631578947368421
1,mixture,single,8000,224316222,Fitted,0.6344504372561524,1364.210613179606,1.005069503416393,8000,3000,48000,0.006860700000000001,2.798E-4,0.0240086,0.631578947368421
1,concentrated,mh,2000,239802085,Completed,2.8787774677038183,NaN,3.0578536026938954,2000,1000,0,0.0,0.0,0.005981200000000001,2.9702970297029703
1,concentrated,legacy,2000,239802085,Completed,2.931114209422115,NaN,NaN,2000,0,0,0.0,0.0,0.0027441,2.9702970297029703
1,concentrated,prior,2000,239802085,Completed,2.931114209422115,4.144995695873072,NaN,2000,0,12000,0.0,0.0,0.0042355000000000005,2.9702970297029703
1,concentrated,single,2000,239802085,Fitted,2.9654999439868925,506.92190067794274,1.6507866800548208,2000,3000,12000,0.0053775,1.6920000000000002E-4,0.010105600000000001,2.9702970297029703
1,concentrated,mixture,2000,239802085,InsufficientComponent,NaN,NaN,2.423787188031432,0,3000,0,0.0049645,0.064127,0.0691568,2.9702970297029703
1,concentrated,mh,8000,239802085,Completed,2.9250827430331126,NaN,1.5773877910390608,8000,1000,0,0.0,0.0,0.0168267,2.9702970297029703
1,concentrated,legacy,8000,239802085,Completed,2.9389946852800826,NaN,NaN,8000,0,0,0.0,0.0,0.011009300000000001,2.9702970297029703
1,concentrated,prior,8000,239802085,Completed,2.938994685280071,15.319145499896695,NaN,8000,0,40000,0.0,0.0,0.0134435,2.9702970297029703
1,concentrated,single,8000,239802085,Fitted,2.9685205764116565,3619.2054740330673,2.423787188031432,8000,3000,48000,0.0048106,1.585E-4,0.020138700000000002,2.9702970297029703
1,concentrated,mixture,8000,239802085,Fitted,2.970795932283894,1714.1547928822445,1.6507866800548208,8000,3000,48000,0.005340200000000001,0.057629200000000005,0.0819422,2.9702970297029703
1,hierarchical,mh,2000,239802085,Completed,0.9774169117035517,NaN,1.1170764874977417,2000,1000,0,0.0,0.0,0.005218400000000001,0.9803921568627451
1,hierarchical,legacy,2000,239802085,Completed,0.9775260978662508,NaN,NaN,2000,0,0,0.0,0.0,0.0033503,0.9803921568627451
1,hierarchical,prior,2000,239802085,Completed,0.9775260978662381,171.3915044338889,NaN,2000,0,20000,0.0,0.0,0.0041834,0.9803921568627451
1,hierarchical,single,2000,239802085,Fitted,0.9815475478901086,1083.5017143459302,1.248910731991739,2000,3000,18000,0.0052313,1.426E-4,0.010121600000000001,0.9803921568627451
1,hierarchical,mixture,2000,239802085,Fitted,0.9876205242210037,1069.7549382046484,1.182009530738576,2000,3000,20000,0.0052462,0.026951700000000002,0.0377393,0.9803921568627451
1,hierarchical,mh,8000,239802085,Completed,0.9462160476761716,NaN,1.1117056631915492,8000,1000,0,0.0,0.0,0.015260600000000001,0.9803921568627451
1,hierarchical,legacy,8000,239802085,Completed,0.9830265023482518,NaN,NaN,8000,0,0,0.0,0.0,0.0127849,0.9803921568627451
1,hierarchical,prior,8000,239802085,Completed,0.983026502348172,703.7007566506811,NaN,8000,0,64000,0.0,0.0,0.015639200000000002,0.9803921568627451
1,hierarchical,single,8000,239802085,Fitted,0.9779564383608015,4320.577161015291,1.2095102816651842,8000,3000,64000,0.0052322,2.3080000000000003E-4,0.024507300000000003,0.9803921568627451
1,hierarchical,mixture,8000,239802085,IterationLimit,NaN,NaN,1.4999967376844159,0,3000,0,0.0059622,0.07308450000000001,0.0792125,0.9803921568627451
1,mixture,mh,2000,239802085,Completed,0.6315,NaN,1.0038082326761424,2000,1000,0,0.0,0.0,0.0055915,0.631578947368421
1,mixture,legacy,2000,239802085,Completed,0.6321325269523983,NaN,NaN,2000,0,0,0.0,0.0,0.0016812,0.631578947368421
1,mixture,prior,2000,239802085,Completed,0.6321325269524004,1313.010349523372,NaN,2000,0,10000,0.0,0.0,0.0032559000000000004,0.631578947368421
1,mixture,single,2000,239802085,Fitted,0.5824876718804515,336.59946934405195,1.0045026283033838,2000,3000,10000,0.005181300000000001,1.305E-4,0.0094266,0.631578947368421
1,mixture,mixture,2000,239802085,Fitted,0.6321848442739364,1912.9349913436745,1.0063387663980143,2000,3000,10000,0.005512100000000001,0.0036503000000000004,0.013714200000000001,0.631578947368421
1,mixture,mh,8000,239802085,Completed,0.636125,NaN,1.0008329416265345,8000,1000,0,0.0,0.0,0.015945,0.631578947368421
1,mixture,legacy,8000,239802085,Completed,0.6372120341969759,NaN,NaN,8000,0,0,0.0,0.0,0.0070736,0.631578947368421
1,mixture,prior,8000,239802085,Completed,0.6372120341969433,5262.676879973815,NaN,8000,0,56000,0.0,0.0,0.013208500000000001,0.631578947368421
1,mixture,single,8000,239802085,Fitted,0.6070092904540948,1408.1168068975408,1.0045026283033838,8000,3000,48000,0.0051777,1.4580000000000002E-4,0.021418200000000002,0.631578947368421
1,mixture,mixture,8000,239802085,Fitted,0.6350932408294655,7664.984029048721,1.0063387663980143,8000,3000,40000,0.0049744,0.0036418,0.026217,0.631578947368421
1,concentrated,legacy,2000,255287948,Completed,2.9212316581947277,NaN,NaN,2000,0,0,0.0,0.0,0.0025299000000000003,2.9702970297029703
1,concentrated,prior,2000,255287948,Completed,2.921231658194728,2.4754147914084097,NaN,2000,0,10000,0.0,0.0,0.0034272,2.9702970297029703
